Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrTimeBlk,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2005,3,8,31,3,2005-08-31,FL,N893AT,225,RIC,"Richmond, VA",VA,PHL,"Philadelphia, PA",PA,1600,1610.0,10.0,10.0,0.0,1600-1659,9.0,1619.0,1710.0,8.0,1700,1718.0,18.0,18.0,1.0,1700-1759,60.0,68.0,51.0,198.0,1,0.0,0.0,18.0,0.0,0.0
2010,1,3,3,3,2010-03-03,OH,N409CA,6721,IAD,"Washington, DC",VA,JFK,"New York, NY",NY,1220,1215.0,-5.0,0.0,0.0,1200-1259,32.0,1247.0,1333.0,10.0,1350,1343.0,-7.0,0.0,0.0,1300-1359,90.0,88.0,46.0,228.0,1,0.0,0.0,0.0,0.0,0.0
2009,3,7,12,7,2009-07-12,NW,N375NC,596,PDX,"Portland, OR",OR,MSP,"Minneapolis, MN",MN,30,25.0,-5.0,0.0,0.0,0001-0559,15.0,40.0,526.0,9.0,539,535.0,-4.0,0.0,0.0,0001-0559,189.0,190.0,166.0,1426.0,6,0.0,0.0,0.0,0.0,0.0
2015,3,7,4,6,2015-07-04,AS,N563AS,831,SEA,"Seattle, WA",WA,OGG,"Kahului, HI",HI,1900,1912.0,12.0,12.0,0.0,1900-1959,11.0,1923.0,2142.0,8.0,2200,2150.0,-10.0,0.0,0.0,2200-2259,360.0,338.0,319.0,2640.0,11,0.0,0.0,0.0,0.0,0.0
2008,1,3,16,7,2008-03-16,FL,N978AT,694,ATL,"Atlanta, GA",GA,SRQ,"Sarasota/Bradenton, FL",FL,1548,1540.0,-8.0,0.0,0.0,1500-1559,11.0,1551.0,1655.0,7.0,1710,1702.0,-8.0,0.0,0.0,1700-1759,82.0,82.0,64.0,445.0,2,0.0,0.0,0.0,0.0,0.0
2010,1,3,8,1,2010-03-08,OH,N721CA,6512,FSD,"Sioux Falls, SD",SD,MSP,"Minneapolis, MN",MN,1250,1420.0,90.0,90.0,1.0,1200-1259,14.0,1434.0,1507.0,18.0,1355,1525.0,90.0,90.0,1.0,1300-1359,65.0,65.0,33.0,197.0,1,90.0,0.0,0.0,0.0,0.0
2017,4,11,5,7,2017-11-05,OO,N454SW,4468,SLC,"Salt Lake City, UT",UT,HLN,"Helena, MT",MT,1559,1549.0,-10.0,0.0,0.0,1500-1559,17.0,1606.0,1708.0,3.0,1735,1711.0,-24.0,0.0,0.0,1700-1759,96.0,82.0,62.0,402.0,2,0.0,0.0,0.0,0.0,0.0
2006,4,11,1,3,2006-11-01,HA,N484HA,247,KOA,"Kona, HI",HI,HNL,"Honolulu, HI",HI,1848,1843.0,-5.0,0.0,0.0,1800-1859,7.0,1850.0,1922.0,5.0,1928,1927.0,-1.0,0.0,0.0,1900-1959,40.0,44.0,32.0,163.0,1,0.0,0.0,0.0,0.0,0.0
2017,3,9,27,3,2017-09-27,AA,N544AA,1792,DTW,"Detroit, MI",MI,PHL,"Philadelphia, PA",PA,1810,1804.0,-6.0,0.0,0.0,1800-1859,24.0,1828.0,1931.0,21.0,1954,1952.0,-2.0,0.0,0.0,1900-1959,104.0,108.0,63.0,453.0,2,0.0,0.0,0.0,0.0,0.0
2014,2,4,6,7,2014-04-06,OO,N453SW,4475,MSP,"Minneapolis, MN",MN,ISN,"Williston, ND",ND,1435,1424.0,-11.0,0.0,0.0,1400-1459,21.0,1445.0,1605.0,7.0,1627,1612.0,-15.0,0.0,0.0,1600-1659,112.0,108.0,80.0,546.0,3,0.0,0.0,0.0,0.0,0.0
